//SQLite data types: https://www.sqlite.org/datatype3.html,,,,,,,,,,,,,,,,,,,,,,,
//wget -O azq_global_element_info_list.csv https://docs.google.com/spreadsheets/d/1ddl-g_qyoMYLF8PMkjrYPrpXusdinTZxsWLQOzJ6xu8/export?format=csv,,,,,,,,,,,,,,,,,,,,,,,
id,var_name,csharp_oldname,db_table,var_type,db_type,val_min,val_max,n_arg_max,name,expiry (millis),definition,category,omit_param_check,,,,,,,,,,
1082,ble_gnss_broadcaster_location_lon,,ble_gnss_broadcaster_location,Double,double,0,0,1,BLE GNSS Broadcaster Location Longitude,,,Location,,,,,,,,,,,
1083,ble_gnss_broadcaster_location_altitude,,ble_gnss_broadcaster_location,Double,double,0,0,1,BLE GNSS Broadcaster Location Altitude,,,Location,,,,,,,,,,,
1084,ble_gnss_broadcaster_location_bt_address,,ble_gnss_broadcaster_location,String,varchar(5),0,0,1,BLE GNSS Broadcaster Location Bluetooth Address,,,,,,,,,,,,,,
2001,gsm_mcc,,gsm_serv_cell_info,Integer,smallint,0,999,1,GSM MCC,,,GSM,,,,,,,,,,,
2002,gsm_mnc,,gsm_serv_cell_info,Integer,smallint,0,999,1,GSM MNC,,,GSM,,,,,,,,,,,
2003,gsm_lac,,gsm_serv_cell_info,Integer,smallint,0,0,1,GSM LAC,,,GSM,,,,,,,,,,,
2004,gsm_cellid,,gsm_serv_cell_info,Integer,smallint,0,0,1,GSM Cell ID,,,GSM,,,,,,,,,,,
2006,gsm_bsic,,gsm_cell_meas,String,varchar(5),0,0,1,BSIC,4000,,GSM,,,,,,,,,,,
2007,gsm_arfcn_bcch,,gsm_cell_meas,Integer,smallint,0,1023,1,ARFCN	BCCH,4000,,GSM,,,,,,,,,,,
2008,gsm_rxlev_full_dbm,,gsm_cell_meas,Integer,smallint,-120,-40,1,RxLev Full (dBm),4000,,GSM,,,,,,,,,,,
2010,gsm_rxlev_sub_dbm,,gsm_cell_meas,Integer,smallint,-120,-40,1,RxLev Sub (dBm),6000,,GSM,,,,,,,,,,,
2012,gsm_rxqual_full,,gsm_cell_meas,Integer,smallint,0,7,1,RxQual	Full,4000,,GSM,,,,,,,,,,,
2014,gsm_rxqual_sub,,gsm_cell_meas,Integer,smallint,0,7,1,RxQual	Sub,4000,,GSM,,,,,,,,,,,
2016,gsm_ta,,gsm_tx_meas,Integer,smallint,0,7,1,TA,4000,,GSM,,,,,,,,,,,
2017,gsm_radiolinktimeout_max,,gsm_rl_timeout_counter,Integer,smallint,0,64,1,Radio	Link	Timeout	Max,4000,,GSM,,,,,,,,,,,
2018,gsm_dtxused,,gsm_rr_measrep_params,String,text,0,0,1,DTX	Used,4000,,GSM,,,,,,,,,,,
2019,gsm_c1,,gsm_cell_meas,Integer,smallint,-127,127,1,C1,4000,,GSM,,,,,,,,,,,
2020,gsm_c2,,gsm_cell_meas,Integer,smallint,-127,127,1,C2,4000,,GSM,,,,,,,,,,,
2021,gsm_c31,,gsm_cell_meas,Integer,smallint,-127,127,1,C31,4000,,GSM,,,,,,,,,,,
2022,gsm_c32,,gsm_cell_meas,Integer,smallint,-127,127,1,C32,4000,,GSM,,,,,,,,,,,
2023,gsm_cellfile_matched_cellname,,gsm_cell_meas,String,text,0,0,1,GSM Cellname,,,GSM,,,,,,,,,,,
2024,gsm_cgi,,gsm_cell_meas,String,text,0,0,1,CGI,,,GSM,,,,,,,,,,,
2025,gsm_channeltype,,gsm_rr_chan_desc,String,text,0,0,1,Channel	Type,,,GSM,,,,,,,,,,,
2026,gsm_subchannelnumber,,gsm_rr_subchan,Integer,smallint,0,0,1,Sub	channel	number,,,GSM,,,,,,,,,,,
2027,gsm_maio,,gsm_rr_chan_desc,Integer,smallint,0,0,1,Mobile	Allocation	Index	Offset	(MAIO),,,GSM,,,,,,,,,,,
2028,gsm_hsn,,gsm_rr_chan_desc,Integer,smallint,0,0,1,Hopping	Sequence	Number	(HSN),,,GSM,,,,,,,,,,,
2029,gsm_cipheringalgorithm,,gsm_rr_cipher_alg,String,text,0,0,1,Ciphering	algorithm,,,GSM,,,,,,,,,,,
2030,gsm_ms_powercontrollevel,,gsm_rr_power_ctrl,Integer,smallint,0,31,1,MS	Power	control	level,,,GSM,,,,,,,,,,,
2031,gsm_channelmode,,gsm_chan_mode,String,text,0,0,1,Channel	Mode,,,GSM,,,,,,,,,,,
2032,gsm_speechcodectx,,vocoder_info,String,text,0,0,1,Speech Codec TX,2000,,Voice,,,,,,,,,,,
2033,gsm_hoppingchannel,,gsm_rr_chan_desc,String,text,0,0,1,Hopping	Channel,,,GSM,,,,,,,,,,,
2034,gsm_hoppingfrequencies,,gsm_hopping_list,String,text,0,0,1,Hopping	Frequencies,,,GSM,,,,,,,,,,,
2035,gsm_arfcn_tch,,gsm_rr_chan_desc,Integer,smallint,0,0,1,ARFCN TCH,,,GSM,,,,,,,,,,,
2036,gsm_timeslot,,gsm_rr_chan_desc,Integer,smallint,0,0,1,Time	Slot,,,GSM,,,,,,,,,,,
2037,gsm_coi,GSM_CI,gsm_coi_per_chan,Double,double,-5,35,32,C/I,,,GSM,,,,,,,,,,,
2038,gsm_coi_arfcn,GSM_CI_ARFCN,gsm_coi_per_chan,Integer,smallint,0,1023,32,C/I ARFCN,,,GSM,,,,,,,,,,,
2039,gsm_coi_avg,GSM_CI_AVG,gsm_coi_per_chan,Double,double,-5,35,1,C/I Avg,2000,,GSM,,,,,,,,,,,
2041,gsm_radiolinktimeout_current,,gsm_rlt_counter,Integer,smallint,0,64,1,Radio	Link	Timeout	Current,4000,,GSM,,,,,,,,,,,
2042,gsm_txpower,,gsm_tx_meas,Integer,smallint,0,39,1,GSM Tx Power,4000,,GSM,,,,,,,,,,,
2043,gsm_band,,gsm_cell_meas,String,text,0,0,1,Band,4000,,GSM,,,,,,,,,,,
2044,gsm_speechcodecrx,,vocoder_info,String,text,0,0,1,Speech Codec RX,2000,,Voice,,,,,,,,,,,
2045,gsm_coi_worst,,gsm_coi_per_chan,Double,double,-5,35,1,C/I Worst,,,GSM,,,,,,,,,,,
2046,gsm_coi_worst_arfcn,,gsm_coi_per_chan,Integer,smallint,0,1023,32,C/I Worst ARFCN,,,GSM,,,,,,,,,,,
2047,gsm_fer,,vocoder_info,Double,double,0,100,1,GSM	FER,2000,,Voice,,,,,,,,,,,
2048,gsm_cellfile_matched_sitename,,gsm_cell_meas,String,text,0,0,1,Sitname,,,GSM,,,,,,,,,,,
2049,gsm_cellfile_matched_neighbor_sitename,,gsm_cell_meas,String,text,0,0,1,Neighbor	Sitename,,,GSM,,,,,,,,,,,
2050,gsm_server_bcch_rxlev,,gsm_server_bcch_rxlev,Integer,smallint,-120,-46,,gsm_server_bcch_rxlev,4000,,GSM,,,,,,,,,,,
2051,gsm_l1_burst_full_tch_fer,,gsm_l1_burst_stats,Double,double,,,,,2000,,GSM,,,,,,,,,,,
2052,gsm_l1_burst_sub_sacch_fer,,gsm_l1_burst_stats,Double,double,,,,,2000,,GSM,,,,,,,,,,,
